model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
ElasticNet,cow,live weight,MSE,5,Train,4083.4105332359395,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,1,Test,4987.726000000004,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,2,Test,5167.4105624543545,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,3,Test,5036.8915672429175,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,4,Test,3516.527340313282,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,5,Test,1773.7729502475459,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,steer,live weight,MAE,1,Train,25.687408563247157,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,2,Train,23.36103940384456,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,3,Train,24.273291350246513,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,4,Train,24.493626402273662,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,5,Train,24.878861199654942,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,1,Test,22.40600914927824,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,2,Test,30.277977529625854,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,3,Test,27.40197893372209,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,4,Test,26.78176058648394,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MAE,5,Test,25.470899759113156,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MSE,1,Train,1665.6327665651022,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MSE,2,Train,975.3140950889405,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MSE,3,Train,1545.6434154573144,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MSE,4,Train,1614.9781354190643,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
ElasticNet,steer,live weight,MSE,5,Train,1649.8506325967796,594,4265,"{'imputer_strategy': 'median', 'alpha': 0.00013373889000037114, 'l1_ratio': 0.838036447945073}"
