model_name,feature_set,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,n_features,n_missing_feature_values,best_params
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,5,Train,0.7796651146131806,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,1,Test,0.7443181818181819,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,2,Test,0.7908045977011495,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,3,Test,0.6448275862068966,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,4,Test,0.8347701149425287,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,5,Test,0.7408045977011495,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,1,Train,0.6843657817109144,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,2,Train,0.6786786786786787,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,3,Train,0.7062146892655368,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,4,Train,0.6628242074927954,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,5,Train,0.6943620178041543,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,1,Test,0.6493506493506493,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,2,Test,0.7032967032967034,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,3,Test,0.5274725274725275,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,4,Test,0.7792207792207793,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,F1,5,Test,0.6436781609195402,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,1,Train,0.8280621408045978,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,2,Train,0.8285279369627507,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,3,Train,0.8517997851002865,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,4,Train,0.8140848853868194,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,5,Train,0.8346346704871059,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,1,Test,0.7755681818181819,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,2,Test,0.7864942528735632,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,3,Test,0.6596264367816093,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,4,Test,0.8344827586206895,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,ROC AUC,5,Test,0.7258620689655173,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,1,Train,0.6827956989247311,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,2,Train,0.6720430107526881,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,3,Train,0.7043010752688172,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,4,Train,0.7165775401069518,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,5,Train,0.6951871657754011,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,1,Test,0.7446808510638298,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,2,Test,0.7446808510638298,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,3,Test,0.5319148936170213,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,4,Test,0.6086956521739131,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Accuracy,5,Test,0.6521739130434783,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
Logistic Regression,Weather only,heifer,has defects,Balanced Accuracy,1,Train,0.6455855855855855,233,94,310,2852,"{'imputer_strategy': 'mean', 'C': 0.02590974532597553, 'l1_ratio': 0.3443622335166928}"
